REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	0.805438369679856	0.335678197848908	8	0.628769295776194	0.412403335494362	8	0.489686021995555	0.477304665256841	8	0.735341619937398	0.362870604057245	8	0.250191226096738	0.556678127480702	8	0.494822915875547	0.450083887371867	8
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.592863479325201	-0.365287233500551	16	0.806743112979122	-0.303094624333644	16	0.806346591354829	-0.311523108680512	16	0.867066895368782	0.251016652537282	16	0.705993670886076	-0.326709503946762	16	0.845883534136546	-0.279634889674547	16
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.421360683512879	-0.280352492326285	86	0.0375360550273332	-0.354768048984315	86	0.240461555711854	-0.30618660030112	86	0.115005429450429	-0.328453387258994	86	0.0431103737146635	-0.356674366534061	86	0.0677708949622952	-0.347824102253026	86
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.0722145415969223	-0.466182624057018	35	0.296494667140013	-0.366443657650138	35	0.406950221387361	-0.339732092182344	35	0.363698606291994	-0.342117525892271	35	0.250191226096738	-0.35746588207197	35	0.232645378939348	-0.371122266911961	35
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.61667368927948	-0.35889530504381	16	0.945230447977774	-0.249964223631695	16	0.967085375816993	-0.232516117132672	16	0.944659576927523	-0.236379791161493	16	0.697436299679613	-0.329509048120127	16	0.836326796667007	-0.287404651465164	16
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.978097967826065	-0.219786550951238	9	0.34301157352567	-0.549520798938853	9	0.385104822098699	-0.53595316117309	9	0.248159057437408	-0.587148731272655	9	0.0501009228641323	-0.67662152560324	9	0.143359003196925	-0.617877933982154	9
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	0.93421052631579	-0.207373251907834	45	0.00263837853607619	-0.529685604475783	44	0.0207889808221519	-0.487359274240086	44	0.0068324994478493	-0.49227254593567	44	0.000512217065328248	-0.537481028330686	44	0.00166671297225298	-0.53962839276501	44
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	0.805438369679856	-0.345925640828321	11	0.400958260981414	-0.470742422226293	11	0.442552935152556	-0.4659639937401	11	0.343848312218349	-0.498303113381686	11	0.092949152707549	-0.602959368903381	11	0.179279928610653	-0.559743194693419	11
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.0112718960353957	-0.590945957876714	23	0.715644569280767	0.281895517141123	22	0.766395629526109	0.278094988660408	22	0.776313360003517	0.258731902644334	22	0.946900478019958	-0.216395654798684	22	0.836326796667007	0.24252946193029	22
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	0.627525464126771	-0.403725272434194	11	0.377170528462041	-0.491254734550283	11	0.442552935152556	-0.468383240451424	11	0.363698606291994	-0.489020981191357	11	0.154922742944707	-0.561741013016538	11	0.249835255354201	-0.537949362069952	11
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.63655857599957	-0.300262852509345	29	0.855518332618498	0.230880467887957	29	0.925813723313375	0.219855621875371	29	0.758152606549774	0.246049177199906	29	0.979827731770018	0.169548423013784	29	0.796840343168027	0.235544330360314	29
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	5.00953177362701e-06	-0.583153437515109	57	0.437115174245976	-0.287900176089667	57	0.474817464990012	-0.284867752112882	57	0.31034933027277	-0.309296670189299	57	0.14224232146222	-0.348812914261851	57	0.188246246945188	-0.340833006453053	57
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.646760741115617	-0.282932997111806	36	0.677718764502656	0.250962690672539	36	0.950960951799878	-0.208611535679402	36	0.736523361407354	0.235680250867202	36	0.788772048846676	-0.241643584173	36	0.633651900507425	0.254792853970543	36
REACTOME_ACTIVATION_OF_RAC	0.61667368927948	0.365442426433974	12	0.342980726416895	-0.500515834135828	12	0.247062417269117	-0.547279975217169	12	0.276816658860828	-0.519426936116989	12	0.299317019386849	-0.479153878049837	12	0.343516183270282	-0.474930021713616	12
